"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
522,"Proportion Male:",0.435,0.402,0.033
522,"Mean Age:",19.508,19.542,0.034
522,"Mean Weight:",162.157,159.151,3.006
522,"Mean Height:",67.187,67.018,0.169
522,"Mean Number of Classes:",3.481,3.433,0.048
523,"Proportion Male:",0.435,0.403,0.032
523,"Mean Age:",19.508,19.547,0.039
523,"Mean Weight:",162.157,159.289,2.868
523,"Mean Height:",67.187,67.02,0.167
523,"Mean Number of Classes:",3.481,3.43,0.051
524,"Proportion Male:",0.435,0.405,0.03
524,"Mean Age:",19.508,19.544,0.036
524,"Mean Weight:",162.157,159.345,2.812
524,"Mean Height:",67.187,67.019,0.168
524,"Mean Number of Classes:",3.481,3.429,0.052
525,"Proportion Male:",0.435,0.404,0.031
525,"Mean Age:",19.508,19.547,0.039
525,"Mean Weight:",162.157,159.338,2.819
525,"Mean Height:",67.187,67.011,0.176
525,"Mean Number of Classes:",3.481,3.429,0.052
526,"Proportion Male:",0.435,0.405,0.03
526,"Mean Age:",19.508,19.551,0.043
526,"Mean Weight:",162.157,159.38,2.777
526,"Mean Height:",67.187,67.018,0.169
526,"Mean Number of Classes:",3.481,3.43,0.051
527,"Proportion Male:",0.435,0.404,0.031
527,"Mean Age:",19.508,19.546,0.038
527,"Mean Weight:",162.157,159.304,2.853
527,"Mean Height:",67.187,67.009,0.178
527,"Mean Number of Classes:",3.481,3.427,0.054
528,"Proportion Male:",0.435,0.405,0.03
528,"Mean Age:",19.508,19.542,0.034
528,"Mean Weight:",162.157,159.398,2.759
528,"Mean Height:",67.187,67.012,0.175
528,"Mean Number of Classes:",3.481,3.434,0.047
529,"Proportion Male:",0.435,0.405,0.03
529,"Mean Age:",19.508,19.537,0.029
529,"Mean Weight:",162.157,159.392,2.765
529,"Mean Height:",67.187,67.02,0.167
529,"Mean Number of Classes:",3.481,3.433,0.048
530,"Proportion Male:",0.435,0.404,0.031
530,"Mean Age:",19.508,19.532,0.024
530,"Mean Weight:",162.157,159.301,2.856
530,"Mean Height:",67.187,67.019,0.168
530,"Mean Number of Classes:",3.481,3.432,0.049
531,"Proportion Male:",0.435,0.403,0.032
531,"Mean Age:",19.508,19.537,0.029
531,"Mean Weight:",162.157,159.303,2.854
531,"Mean Height:",67.187,67.013,0.174
531,"Mean Number of Classes:",3.481,3.431,0.05
532,"Proportion Male:",0.435,0.404,0.031
532,"Mean Age:",19.508,19.532,0.024
532,"Mean Weight:",162.157,159.301,2.856
532,"Mean Height:",67.187,67.023,0.164
532,"Mean Number of Classes:",3.481,3.429,0.052
533,"Proportion Male:",0.435,0.403,0.032
533,"Mean Age:",19.508,19.535,0.027
533,"Mean Weight:",162.157,159.265,2.892
533,"Mean Height:",67.187,67.028,0.159
533,"Mean Number of Classes:",3.481,3.428,0.053
534,"Proportion Male:",0.435,0.404,0.031
534,"Mean Age:",19.508,19.534,0.026
534,"Mean Weight:",162.157,159.333,2.824
534,"Mean Height:",67.187,67.025,0.162
534,"Mean Number of Classes:",3.481,3.425,0.056
535,"Proportion Male:",0.435,0.406,0.029
535,"Mean Age:",19.508,19.538,0.03
535,"Mean Weight:",162.157,159.27,2.887
535,"Mean Height:",67.187,67.016,0.171
535,"Mean Number of Classes:",3.481,3.428,0.053
536,"Proportion Male:",0.435,0.407,0.028
536,"Mean Age:",19.508,19.541,0.033
536,"Mean Weight:",162.157,159.371,2.786
536,"Mean Height:",67.187,67.018,0.169
536,"Mean Number of Classes:",3.481,3.427,0.054
537,"Proportion Male:",0.435,0.406,0.029
537,"Mean Age:",19.508,19.536,0.028
537,"Mean Weight:",162.157,159.38,2.777
537,"Mean Height:",67.187,67.027,0.16
537,"Mean Number of Classes:",3.481,3.425,0.056
538,"Proportion Male:",0.435,0.405,0.03
538,"Mean Age:",19.508,19.539,0.031
538,"Mean Weight:",162.157,159.4,2.757
538,"Mean Height:",67.187,67.017,0.17
538,"Mean Number of Classes:",3.481,3.431,0.05
539,"Proportion Male:",0.435,0.406,0.029
539,"Mean Age:",19.508,19.542,0.034
539,"Mean Weight:",162.157,159.348,2.809
539,"Mean Height:",67.187,67.024,0.163
539,"Mean Number of Classes:",3.481,3.432,0.049
540,"Proportion Male:",0.435,0.407,0.028
540,"Mean Age:",19.508,19.546,0.038
540,"Mean Weight:",162.157,159.416,2.741
540,"Mean Height:",67.187,67.012,0.175
540,"Mean Number of Classes:",3.481,3.431,0.05
541,"Proportion Male:",0.435,0.409,0.026
541,"Mean Age:",19.508,19.542,0.034
541,"Mean Weight:",162.157,159.5,2.657
541,"Mean Height:",67.187,67.022,0.165
541,"Mean Number of Classes:",3.481,3.431,0.05
542,"Proportion Male:",0.435,0.408,0.027
542,"Mean Age:",19.508,19.539,0.031
542,"Mean Weight:",162.157,159.482,2.675
542,"Mean Height:",67.187,67.023,0.164
542,"Mean Number of Classes:",3.481,3.437,0.044
543,"Proportion Male:",0.435,0.409,0.026
543,"Mean Age:",19.508,19.538,0.03
543,"Mean Weight:",162.157,159.409,2.748
543,"Mean Height:",67.187,67.025,0.162
543,"Mean Number of Classes:",3.481,3.44,0.041
544,"Proportion Male:",0.435,0.41,0.025
544,"Mean Age:",19.508,19.539,0.031
544,"Mean Weight:",162.157,159.616,2.541
544,"Mean Height:",67.187,67.03,0.157
544,"Mean Number of Classes:",3.481,3.439,0.042
545,"Proportion Male:",0.435,0.409,0.026
545,"Mean Age:",19.508,19.536,0.028
545,"Mean Weight:",162.157,159.595,2.562
545,"Mean Height:",67.187,67.03,0.157
545,"Mean Number of Classes:",3.481,3.439,0.042
546,"Proportion Male:",0.435,0.41,0.025
546,"Mean Age:",19.508,19.535,0.027
546,"Mean Weight:",162.157,159.726,2.431
546,"Mean Height:",67.187,67.01,0.177
546,"Mean Number of Classes:",3.481,3.436,0.045
547,"Proportion Male:",0.435,0.41,0.025
547,"Mean Age:",19.508,19.537,0.029
547,"Mean Weight:",162.157,159.716,2.441
547,"Mean Height:",67.187,67.003,0.184
547,"Mean Number of Classes:",3.481,3.435,0.046
548,"Proportion Male:",0.435,0.409,0.026
548,"Mean Age:",19.508,19.535,0.027
548,"Mean Weight:",162.157,159.688,2.469
548,"Mean Height:",67.187,67.004,0.183
548,"Mean Number of Classes:",3.481,3.436,0.045
549,"Proportion Male:",0.435,0.41,0.025
549,"Mean Age:",19.508,19.534,0.026
549,"Mean Weight:",162.157,159.65,2.507
549,"Mean Height:",67.187,67.015,0.172
549,"Mean Number of Classes:",3.481,3.435,0.046
550,"Proportion Male:",0.435,0.411,0.024
550,"Mean Age:",19.508,19.531,0.023
550,"Mean Weight:",162.157,159.719,2.438
550,"Mean Height:",67.187,67.044,0.143
550,"Mean Number of Classes:",3.481,3.438,0.043
551,"Proportion Male:",0.435,0.41,0.025
551,"Mean Age:",19.508,19.53,0.022
551,"Mean Weight:",162.157,159.789,2.368
551,"Mean Height:",67.187,67.033,0.154
551,"Mean Number of Classes:",3.481,3.437,0.044
552,"Proportion Male:",0.435,0.409,0.026
552,"Mean Age:",19.508,19.527,0.019
552,"Mean Weight:",162.157,159.756,2.401
552,"Mean Height:",67.187,67.036,0.151
552,"Mean Number of Classes:",3.481,3.435,0.046
553,"Proportion Male:",0.435,0.409,0.026
553,"Mean Age:",19.508,19.523,0.015
553,"Mean Weight:",162.157,159.713,2.444
553,"Mean Height:",67.187,67.021,0.166
553,"Mean Number of Classes:",3.481,3.434,0.047
554,"Proportion Male:",0.435,0.41,0.025
554,"Mean Age:",19.508,19.527,0.019
554,"Mean Weight:",162.157,159.775,2.382
554,"Mean Height:",67.187,67.019,0.168
554,"Mean Number of Classes:",3.481,3.431,0.05
555,"Proportion Male:",0.435,0.411,0.024
555,"Mean Age:",19.508,19.528,0.02
555,"Mean Weight:",162.157,159.931,2.226
555,"Mean Height:",67.187,67.017,0.17
555,"Mean Number of Classes:",3.481,3.431,0.05
556,"Proportion Male:",0.435,0.41,0.025
556,"Mean Age:",19.508,19.529,0.021
556,"Mean Weight:",162.157,159.882,2.275
556,"Mean Height:",67.187,67.025,0.162
556,"Mean Number of Classes:",3.481,3.435,0.046
557,"Proportion Male:",0.435,0.411,0.024
557,"Mean Age:",19.508,19.524,0.016
557,"Mean Weight:",162.157,159.99,2.167
557,"Mean Height:",67.187,67.015,0.172
557,"Mean Number of Classes:",3.481,3.438,0.043
558,"Proportion Male:",0.435,0.41,0.025
558,"Mean Age:",19.508,19.523,0.015
558,"Mean Weight:",162.157,159.896,2.261
558,"Mean Height:",67.187,67.011,0.176
558,"Mean Number of Classes:",3.481,3.441,0.04
559,"Proportion Male:",0.435,0.41,0.025
559,"Mean Age:",19.508,19.528,0.02
559,"Mean Weight:",162.157,159.89,2.267
559,"Mean Height:",67.187,66.999,0.188
559,"Mean Number of Classes:",3.481,3.44,0.041
560,"Proportion Male:",0.435,0.409,0.026
560,"Mean Age:",19.508,19.523,0.015
560,"Mean Weight:",162.157,159.864,2.293
560,"Mean Height:",67.187,66.995,0.192
560,"Mean Number of Classes:",3.481,3.439,0.042
561,"Proportion Male:",0.435,0.408,0.027
561,"Mean Age:",19.508,19.52,0.012
561,"Mean Weight:",162.157,159.8,2.357
561,"Mean Height:",67.187,66.996,0.191
561,"Mean Number of Classes:",3.481,3.439,0.042
562,"Proportion Male:",0.435,0.409,0.026
562,"Mean Age:",19.508,19.52,0.012
562,"Mean Weight:",162.157,159.791,2.366
562,"Mean Height:",67.187,67.009,0.178
562,"Mean Number of Classes:",3.481,3.436,0.045
563,"Proportion Male:",0.435,0.409,0.026
563,"Mean Age:",19.508,19.522,0.014
563,"Mean Weight:",162.157,159.784,2.373
563,"Mean Height:",67.187,67.018,0.169
563,"Mean Number of Classes:",3.481,3.433,0.048
564,"Proportion Male:",0.435,0.41,0.025
564,"Mean Age:",19.508,19.518,0.01
564,"Mean Weight:",162.157,159.821,2.336
564,"Mean Height:",67.187,67.031,0.156
564,"Mean Number of Classes:",3.481,3.433,0.048
565,"Proportion Male:",0.435,0.411,0.024
565,"Mean Age:",19.508,19.517,0.009
565,"Mean Weight:",162.157,159.848,2.309
565,"Mean Height:",67.187,67.033,0.154
565,"Mean Number of Classes:",3.481,3.432,0.049
566,"Proportion Male:",0.435,0.412,0.023
566,"Mean Age:",19.508,19.514,0.006
566,"Mean Weight:",162.157,159.801,2.356
566,"Mean Height:",67.187,67.036,0.151
566,"Mean Number of Classes:",3.481,3.429,0.052
567,"Proportion Male:",0.435,0.411,0.024
567,"Mean Age:",19.508,19.51,0.002
567,"Mean Weight:",162.157,159.77,2.387
567,"Mean Height:",67.187,67.03,0.157
567,"Mean Number of Classes:",3.481,3.427,0.054
568,"Proportion Male:",0.435,0.412,0.023
568,"Mean Age:",19.508,19.505,0.003
568,"Mean Weight:",162.157,159.838,2.319
568,"Mean Height:",67.187,67.027,0.16
568,"Mean Number of Classes:",3.481,3.424,0.057
569,"Proportion Male:",0.435,0.411,0.024
569,"Mean Age:",19.508,19.51,0.002
569,"Mean Weight:",162.157,159.825,2.332
569,"Mean Height:",67.187,67.018,0.169
569,"Mean Number of Classes:",3.481,3.429,0.052
570,"Proportion Male:",0.435,0.412,0.023
570,"Mean Age:",19.508,19.511,0.003
570,"Mean Weight:",162.157,159.805,2.352
570,"Mean Height:",67.187,67.028,0.159
570,"Mean Number of Classes:",3.481,3.428,0.053
571,"Proportion Male:",0.435,0.412,0.023
571,"Mean Age:",19.508,19.511,0.003
571,"Mean Weight:",162.157,159.728,2.429
571,"Mean Height:",67.187,67.019,0.168
571,"Mean Number of Classes:",3.481,3.426,0.055
572,"Proportion Male:",0.435,0.411,0.024
572,"Mean Age:",19.508,19.516,0.008
572,"Mean Weight:",162.157,159.665,2.492
572,"Mean Height:",67.187,67.007,0.18
572,"Mean Number of Classes:",3.481,3.425,0.056
573,"Proportion Male:",0.435,0.412,0.023
573,"Mean Age:",19.508,19.52,0.012
573,"Mean Weight:",162.157,159.756,2.401
573,"Mean Height:",67.187,67.002,0.185
573,"Mean Number of Classes:",3.481,3.426,0.055
574,"Proportion Male:",0.435,0.411,0.024
574,"Mean Age:",19.508,19.517,0.009
574,"Mean Weight:",162.157,159.779,2.378
574,"Mean Height:",67.187,66.99,0.197
574,"Mean Number of Classes:",3.481,3.427,0.054
575,"Proportion Male:",0.435,0.41,0.025
575,"Mean Age:",19.508,19.522,0.014
575,"Mean Weight:",162.157,159.696,2.461
575,"Mean Height:",67.187,66.993,0.194
575,"Mean Number of Classes:",3.481,3.43,0.051
576,"Proportion Male:",0.435,0.411,0.024
576,"Mean Age:",19.508,19.521,0.013
576,"Mean Weight:",162.157,159.789,2.368
576,"Mean Height:",67.187,67.002,0.185
576,"Mean Number of Classes:",3.481,3.429,0.052
577,"Proportion Male:",0.435,0.412,0.023
577,"Mean Age:",19.508,19.522,0.014
577,"Mean Weight:",162.157,159.695,2.462
577,"Mean Height:",67.187,67.022,0.165
577,"Mean Number of Classes:",3.481,3.432,0.049
578,"Proportion Male:",0.435,0.413,0.022
578,"Mean Age:",19.508,19.522,0.014
578,"Mean Weight:",162.157,159.691,2.466
578,"Mean Height:",67.187,67.029,0.158
578,"Mean Number of Classes:",3.481,3.431,0.05
579,"Proportion Male:",0.435,0.413,0.022
579,"Mean Age:",19.508,19.52,0.012
579,"Mean Weight:",162.157,159.723,2.434
579,"Mean Height:",67.187,67.028,0.159
579,"Mean Number of Classes:",3.481,3.432,0.049
580,"Proportion Male:",0.435,0.414,0.021
580,"Mean Age:",19.508,19.524,0.016
580,"Mean Weight:",162.157,159.779,2.378
580,"Mean Height:",67.187,67.031,0.156
580,"Mean Number of Classes:",3.481,3.431,0.05
581,"Proportion Male:",0.435,0.413,0.022
581,"Mean Age:",19.508,19.527,0.019
581,"Mean Weight:",162.157,159.719,2.438
581,"Mean Height:",67.187,67.025,0.162
581,"Mean Number of Classes:",3.481,3.429,0.052
582,"Proportion Male:",0.435,0.414,0.021
582,"Mean Age:",19.508,19.531,0.023
582,"Mean Weight:",162.157,159.842,2.315
582,"Mean Height:",67.187,67.046,0.141
582,"Mean Number of Classes:",3.481,3.428,0.053
583,"Proportion Male:",0.435,0.415,0.02
583,"Mean Age:",19.508,19.53,0.022
583,"Mean Weight:",162.157,159.96,2.197
583,"Mean Height:",67.187,67.054,0.133
583,"Mean Number of Classes:",3.481,3.429,0.052
584,"Proportion Male:",0.435,0.414,0.021
584,"Mean Age:",19.508,19.533,0.025
584,"Mean Weight:",162.157,159.918,2.239
584,"Mean Height:",67.187,67.054,0.133
584,"Mean Number of Classes:",3.481,3.428,0.053
585,"Proportion Male:",0.435,0.414,0.021
585,"Mean Age:",19.508,19.528,0.02
585,"Mean Weight:",162.157,159.91,2.247
585,"Mean Height:",67.187,67.039,0.148
585,"Mean Number of Classes:",3.481,3.427,0.054
586,"Proportion Male:",0.435,0.415,0.02
586,"Mean Age:",19.508,19.524,0.016
586,"Mean Weight:",162.157,160.003,2.154
586,"Mean Height:",67.187,67.046,0.141
586,"Mean Number of Classes:",3.481,3.432,0.049
587,"Proportion Male:",0.435,0.414,0.021
587,"Mean Age:",19.508,19.52,0.012
587,"Mean Weight:",162.157,160.024,2.133
587,"Mean Height:",67.187,67.043,0.144
587,"Mean Number of Classes:",3.481,3.429,0.052
588,"Proportion Male:",0.435,0.413,0.022
588,"Mean Age:",19.508,19.522,0.014
588,"Mean Weight:",162.157,159.947,2.21
588,"Mean Height:",67.187,67.03,0.157
588,"Mean Number of Classes:",3.481,3.429,0.052
589,"Proportion Male:",0.435,0.413,0.022
589,"Mean Age:",19.508,19.521,0.013
589,"Mean Weight:",162.157,159.859,2.298
589,"Mean Height:",67.187,67.03,0.157
589,"Mean Number of Classes:",3.481,3.431,0.05
590,"Proportion Male:",0.435,0.414,0.021
590,"Mean Age:",19.508,19.525,0.017
590,"Mean Weight:",162.157,159.876,2.281
590,"Mean Height:",67.187,67.037,0.15
590,"Mean Number of Classes:",3.481,3.429,0.052
591,"Proportion Male:",0.435,0.415,0.02
591,"Mean Age:",19.508,19.528,0.02
591,"Mean Weight:",162.157,159.914,2.243
591,"Mean Height:",67.187,67.053,0.134
591,"Mean Number of Classes:",3.481,3.433,0.048
592,"Proportion Male:",0.435,0.414,0.021
592,"Mean Age:",19.508,19.532,0.024
592,"Mean Weight:",162.157,159.919,2.238
592,"Mean Height:",67.187,67.052,0.135
592,"Mean Number of Classes:",3.481,3.432,0.049
593,"Proportion Male:",0.435,0.413,0.022
593,"Mean Age:",19.508,19.531,0.023
593,"Mean Weight:",162.157,159.907,2.25
593,"Mean Height:",67.187,67.051,0.136
593,"Mean Number of Classes:",3.481,3.43,0.051
594,"Proportion Male:",0.435,0.414,0.021
594,"Mean Age:",19.508,19.535,0.027
594,"Mean Weight:",162.157,159.873,2.284
594,"Mean Height:",67.187,67.053,0.134
594,"Mean Number of Classes:",3.481,3.433,0.048
595,"Proportion Male:",0.435,0.413,0.022
595,"Mean Age:",19.508,19.533,0.025
595,"Mean Weight:",162.157,159.81,2.347
595,"Mean Height:",67.187,67.041,0.146
595,"Mean Number of Classes:",3.481,3.434,0.047
596,"Proportion Male:",0.435,0.414,0.021
596,"Mean Age:",19.508,19.529,0.021
596,"Mean Weight:",162.157,159.848,2.309
596,"Mean Height:",67.187,67.04,0.147
596,"Mean Number of Classes:",3.481,3.436,0.045
597,"Proportion Male:",0.435,0.414,0.021
597,"Mean Age:",19.508,19.531,0.023
597,"Mean Weight:",162.157,159.756,2.401
597,"Mean Height:",67.187,67.03,0.157
597,"Mean Number of Classes:",3.481,3.434,0.047
598,"Proportion Male:",0.435,0.413,0.022
598,"Mean Age:",19.508,19.528,0.02
598,"Mean Weight:",162.157,159.806,2.351
598,"Mean Height:",67.187,67.027,0.16
598,"Mean Number of Classes:",3.481,3.438,0.043
599,"Proportion Male:",0.435,0.412,0.023
599,"Mean Age:",19.508,19.533,0.025
599,"Mean Weight:",162.157,159.77,2.387
599,"Mean Height:",67.187,67.013,0.174
599,"Mean Number of Classes:",3.481,3.442,0.039
600,"Proportion Male:",0.435,0.412,0.023
600,"Mean Age:",19.508,19.532,0.024
600,"Mean Weight:",162.157,159.78,2.377
600,"Mean Height:",67.187,67.002,0.185
600,"Mean Number of Classes:",3.481,3.44,0.041
601,"Proportion Male:",0.435,0.411,0.024
601,"Mean Age:",19.508,19.527,0.019
601,"Mean Weight:",162.157,159.727,2.43
601,"Mean Height:",67.187,67,0.187
601,"Mean Number of Classes:",3.481,3.439,0.042
602,"Proportion Male:",0.435,0.41,0.025
602,"Mean Age:",19.508,19.532,0.024
602,"Mean Weight:",162.157,159.738,2.419
602,"Mean Height:",67.187,66.997,0.19
602,"Mean Number of Classes:",3.481,3.439,0.042
603,"Proportion Male:",0.435,0.411,0.024
603,"Mean Age:",19.508,19.534,0.026
603,"Mean Weight:",162.157,159.84,2.317
603,"Mean Height:",67.187,67.005,0.182
603,"Mean Number of Classes:",3.481,3.436,0.045
604,"Proportion Male:",0.435,0.412,0.023
604,"Mean Age:",19.508,19.538,0.03
604,"Mean Weight:",162.157,159.983,2.174
604,"Mean Height:",67.187,67.02,0.167
604,"Mean Number of Classes:",3.481,3.437,0.044
605,"Proportion Male:",0.435,0.413,0.022
605,"Mean Age:",19.508,19.536,0.028
605,"Mean Weight:",162.157,160.032,2.125
605,"Mean Height:",67.187,67.036,0.151
605,"Mean Number of Classes:",3.481,3.44,0.041
606,"Proportion Male:",0.435,0.414,0.021
606,"Mean Age:",19.508,19.536,0.028
606,"Mean Weight:",162.157,160.124,2.033
606,"Mean Height:",67.187,67.036,0.151
606,"Mean Number of Classes:",3.481,3.442,0.039
607,"Proportion Male:",0.435,0.414,0.021
607,"Mean Age:",19.508,19.532,0.024
607,"Mean Weight:",162.157,160.154,2.003
607,"Mean Height:",67.187,67.04,0.147
607,"Mean Number of Classes:",3.481,3.442,0.039
608,"Proportion Male:",0.435,0.414,0.021
608,"Mean Age:",19.508,19.528,0.02
608,"Mean Weight:",162.157,160.149,2.008
608,"Mean Height:",67.187,67.045,0.142
608,"Mean Number of Classes:",3.481,3.447,0.034
609,"Proportion Male:",0.435,0.415,0.02
609,"Mean Age:",19.508,19.532,0.024
609,"Mean Weight:",162.157,160.264,1.893
609,"Mean Height:",67.187,67.05,0.137
609,"Mean Number of Classes:",3.481,3.445,0.036
610,"Proportion Male:",0.435,0.416,0.019
610,"Mean Age:",19.508,19.53,0.022
610,"Mean Weight:",162.157,160.288,1.869
610,"Mean Height:",67.187,67.059,0.128
610,"Mean Number of Classes:",3.481,3.444,0.037
611,"Proportion Male:",0.435,0.417,0.018
611,"Mean Age:",19.508,19.532,0.024
611,"Mean Weight:",162.157,160.35,1.807
611,"Mean Height:",67.187,67.048,0.139
611,"Mean Number of Classes:",3.481,3.444,0.037
612,"Proportion Male:",0.435,0.418,0.017
612,"Mean Age:",19.508,19.528,0.02
612,"Mean Weight:",162.157,160.325,1.832
612,"Mean Height:",67.187,67.05,0.137
612,"Mean Number of Classes:",3.481,3.441,0.04
613,"Proportion Male:",0.435,0.418,0.017
613,"Mean Age:",19.508,19.532,0.024
613,"Mean Weight:",162.157,160.324,1.833
613,"Mean Height:",67.187,67.035,0.152
613,"Mean Number of Classes:",3.481,3.439,0.042
614,"Proportion Male:",0.435,0.417,0.018
614,"Mean Age:",19.508,19.529,0.021
614,"Mean Weight:",162.157,160.356,1.801
614,"Mean Height:",67.187,67.029,0.158
614,"Mean Number of Classes:",3.481,3.445,0.036
615,"Proportion Male:",0.435,0.418,0.017
615,"Mean Age:",19.508,19.533,0.025
615,"Mean Weight:",162.157,160.398,1.759
615,"Mean Height:",67.187,67.028,0.159
615,"Mean Number of Classes:",3.481,3.444,0.037
616,"Proportion Male:",0.435,0.417,0.018
616,"Mean Age:",19.508,19.532,0.024
616,"Mean Weight:",162.157,160.375,1.782
616,"Mean Height:",67.187,67.023,0.164
616,"Mean Number of Classes:",3.481,3.442,0.039
617,"Proportion Male:",0.435,0.418,0.017
617,"Mean Age:",19.508,19.535,0.027
617,"Mean Weight:",162.157,160.453,1.704
617,"Mean Height:",67.187,67.018,0.169
617,"Mean Number of Classes:",3.481,3.441,0.04
618,"Proportion Male:",0.435,0.417,0.018
618,"Mean Age:",19.508,19.537,0.029
618,"Mean Weight:",162.157,160.383,1.774
618,"Mean Height:",67.187,67.014,0.173
618,"Mean Number of Classes:",3.481,3.447,0.034
619,"Proportion Male:",0.435,0.418,0.017
619,"Mean Age:",19.508,19.541,0.033
619,"Mean Weight:",162.157,160.39,1.767
619,"Mean Height:",67.187,67.027,0.16
619,"Mean Number of Classes:",3.481,3.449,0.032
620,"Proportion Male:",0.435,0.418,0.017
620,"Mean Age:",19.508,19.542,0.034
620,"Mean Weight:",162.157,160.413,1.744
620,"Mean Height:",67.187,67.024,0.163
620,"Mean Number of Classes:",3.481,3.45,0.031
621,"Proportion Male:",0.435,0.417,0.018
621,"Mean Age:",19.508,19.544,0.036
621,"Mean Weight:",162.157,160.426,1.731
621,"Mean Height:",67.187,67.028,0.159
621,"Mean Number of Classes:",3.481,3.451,0.03
622,"Proportion Male:",0.435,0.418,0.017
622,"Mean Age:",19.508,19.548,0.04
622,"Mean Weight:",162.157,160.426,1.731
622,"Mean Height:",67.187,67.027,0.16
622,"Mean Number of Classes:",3.481,3.45,0.031
623,"Proportion Male:",0.435,0.417,0.018
623,"Mean Age:",19.508,19.552,0.044
623,"Mean Weight:",162.157,160.394,1.763
623,"Mean Height:",67.187,67.031,0.156
623,"Mean Number of Classes:",3.481,3.448,0.033
624,"Proportion Male:",0.435,0.417,0.018
624,"Mean Age:",19.508,19.556,0.048
624,"Mean Weight:",162.157,160.366,1.791
624,"Mean Height:",67.187,67.021,0.166
624,"Mean Number of Classes:",3.481,3.446,0.035
625,"Proportion Male:",0.435,0.418,0.017
625,"Mean Age:",19.508,19.557,0.049
625,"Mean Weight:",162.157,160.322,1.835
625,"Mean Height:",67.187,67.026,0.161
625,"Mean Number of Classes:",3.481,3.445,0.036
626,"Proportion Male:",0.435,0.417,0.018
626,"Mean Age:",19.508,19.558,0.05
626,"Mean Weight:",162.157,160.314,1.843
626,"Mean Height:",67.187,67.015,0.172
626,"Mean Number of Classes:",3.481,3.442,0.039
627,"Proportion Male:",0.435,0.416,0.019
627,"Mean Age:",19.508,19.553,0.045
627,"Mean Weight:",162.157,160.285,1.872
627,"Mean Height:",67.187,67.006,0.181
627,"Mean Number of Classes:",3.481,3.44,0.041
628,"Proportion Male:",0.435,0.417,0.018
628,"Mean Age:",19.508,19.551,0.043
628,"Mean Weight:",162.157,160.329,1.828
628,"Mean Height:",67.187,67.006,0.181
628,"Mean Number of Classes:",3.481,3.438,0.043
629,"Proportion Male:",0.435,0.417,0.018
629,"Mean Age:",19.508,19.555,0.047
629,"Mean Weight:",162.157,160.305,1.852
629,"Mean Height:",67.187,66.998,0.189
629,"Mean Number of Classes:",3.481,3.439,0.042
630,"Proportion Male:",0.435,0.416,0.019
630,"Mean Age:",19.508,19.551,0.043
630,"Mean Weight:",162.157,160.289,1.868
630,"Mean Height:",67.187,66.994,0.193
630,"Mean Number of Classes:",3.481,3.44,0.041
631,"Proportion Male:",0.435,0.415,0.02
631,"Mean Age:",19.508,19.552,0.044
631,"Mean Weight:",162.157,160.258,1.899
631,"Mean Height:",67.187,66.992,0.195
631,"Mean Number of Classes:",3.481,3.442,0.039
632,"Proportion Male:",0.435,0.415,0.02
632,"Mean Age:",19.508,19.551,0.043
632,"Mean Weight:",162.157,160.16,1.997
632,"Mean Height:",67.187,66.986,0.201
632,"Mean Number of Classes:",3.481,3.44,0.041
633,"Proportion Male:",0.435,0.414,0.021
633,"Mean Age:",19.508,19.547,0.039
633,"Mean Weight:",162.157,160.158,1.999
633,"Mean Height:",67.187,66.991,0.196
633,"Mean Number of Classes:",3.481,3.441,0.04
634,"Proportion Male:",0.435,0.413,0.022
634,"Mean Age:",19.508,19.55,0.042
634,"Mean Weight:",162.157,160.065,2.092
634,"Mean Height:",67.187,66.984,0.203
634,"Mean Number of Classes:",3.481,3.438,0.043
635,"Proportion Male:",0.435,0.413,0.022
635,"Mean Age:",19.508,19.546,0.038
635,"Mean Weight:",162.157,160.066,2.091
635,"Mean Height:",67.187,66.978,0.209
635,"Mean Number of Classes:",3.481,3.438,0.043
636,"Proportion Male:",0.435,0.414,0.021
636,"Mean Age:",19.508,19.542,0.034
636,"Mean Weight:",162.157,160.158,1.999
636,"Mean Height:",67.187,66.988,0.199
636,"Mean Number of Classes:",3.481,3.437,0.044
637,"Proportion Male:",0.435,0.413,0.022
637,"Mean Age:",19.508,19.546,0.038
637,"Mean Weight:",162.157,160.186,1.971
637,"Mean Height:",67.187,66.985,0.202
637,"Mean Number of Classes:",3.481,3.435,0.046
638,"Proportion Male:",0.435,0.412,0.023
638,"Mean Age:",19.508,19.542,0.034
638,"Mean Weight:",162.157,160.086,2.071
638,"Mean Height:",67.187,66.979,0.208
638,"Mean Number of Classes:",3.481,3.436,0.045
639,"Proportion Male:",0.435,0.413,0.022
639,"Mean Age:",19.508,19.543,0.035
639,"Mean Weight:",162.157,160.244,1.913
639,"Mean Height:",67.187,66.982,0.205
639,"Mean Number of Classes:",3.481,3.437,0.044
640,"Proportion Male:",0.435,0.412,0.023
640,"Mean Age:",19.508,19.542,0.034
640,"Mean Weight:",162.157,160.241,1.916
640,"Mean Height:",67.187,66.977,0.21
640,"Mean Number of Classes:",3.481,3.439,0.042
641,"Proportion Male:",0.435,0.412,0.023
641,"Mean Age:",19.508,19.544,0.036
641,"Mean Weight:",162.157,160.19,1.967
641,"Mean Height:",67.187,66.972,0.215
641,"Mean Number of Classes:",3.481,3.44,0.041
642,"Proportion Male:",0.435,0.413,0.022
