"sex","age","weight","height","classes"
"Female",21,94.3,69,4
"Female",21,141.7,69.8,3
"Female",22,192.1,62,3
"Male",18,110.1,71,2
"Female",22,152.1,69.4,3
"Female",21,149.7,61.2,7
"Male",20,183.7,69.1,7
"Male",17,177.7,68.1,5
"Female",22,126.9,58.7,3
"Male",17,252.5,77.1,6
"Female",18,153.6,64.4,3
"Female",17,146.5,62.9,2
"Female",20,125.7,60.7,4
"Male",21,195.9,69.1,2
"Female",20,136.2,66.3,2
"Male",22,161.3,61.4,6
"Female",17,196.3,66.5,3
"Male",18,168,68.6,2
"Female",20,156.5,66.9,3
"Male",21,213.3,69.5,3
"Male",21,185,68,2
"Female",21,102.8,66.6,5
"Male",20,263.2,71.1,2
"Female",17,178.1,62.5,5
"Female",22,97.9,66.1,3
"Male",19,271.9,71.2,4
"Female",22,96.5,64.2,4
"Male",17,185.6,73.3,4
"Male",17,167.1,67.4,4
"Female",20,186.1,62.7,2
"Female",22,169.5,59,2
"Male",17,198.6,69.2,2
"Female",19,114.5,62,2
"Female",17,151.9,64.9,4
"Female",17,175.1,62.6,3
"Female",19,125.3,66,2
"Female",17,124.5,62.9,3
"Male",21,184,74.4,3
"Female",19,163.8,66.2,4
"Male",18,169,62.1,2
"Female",20,131.8,64.7,2
"Male",21,116.3,67.7,3
"Female",18,194,66.5,4
"Male",22,192.2,67.7,2
"Female",18,163.3,63.3,3
"Male",17,145,69.8,3
"Female",18,160.3,69,3
"Female",18,171.8,66.1,6
"Female",22,117,63.7,2
"Male",17,142.9,67.2,2
"Female",19,188.6,72.7,3
"Female",21,173.8,63.1,6
"Female",22,185.5,68.3,5
"Male",18,217.8,65.2,2
"Male",22,176.1,70.6,2
"Female",19,159.3,73.9,2
"Female",22,172.4,64.8,6
"Female",21,137.7,65.4,4
"Male",21,181.5,72,5
"Female",19,195.8,62.3,6
"Female",22,160.8,67.5,3
"Female",17,137.3,61.4,2
"Female",17,134.7,62.3,4
"Male",21,207.8,70.7,2
"Male",17,183.4,69.6,2
"Male",21,249,68,4
"Male",22,146.6,67.7,4
"Female",22,168.4,66.5,4
"Female",18,207.3,56.1,4
"Male",18,215.2,72.8,4
"Male",22,215.9,65.5,3
"Female",21,186.7,69.4,3
"Male",18,147.8,71,5
"Female",19,213.2,62.4,4
"Female",21,157.4,62.8,2
"Female",19,153.2,65.7,4
"Male",22,183.6,66.8,3
"Male",21,143.3,70.7,5
"Male",19,217.7,65.2,2
"Female",18,120.6,63.7,2
"Female",21,144,63.8,2
"Male",18,180.1,70.8,3
"Male",18,136.8,70.8,2
"Female",19,134.3,68.8,7
"Female",20,164.2,62.8,5
"Female",18,183.5,66.5,3
"Male",19,188.2,69.8,6
"Male",22,216.2,68.1,3
"Male",20,150.3,67.4,2
"Male",19,167.2,70.6,3
"Female",18,151.5,62.4,3
"Male",20,176.4,70.8,4
"Female",19,171.1,61.9,3
"Male",22,164.4,65,7
"Female",18,121.2,63,2
"Male",17,151.2,68.5,2
"Male",21,176.8,70.1,5
"Female",17,150.9,65.5,2
"Female",17,149.8,62.5,4
"Male",21,190.8,70.5,5
"Female",20,134.7,62.5,4
"Male",21,191.9,66.4,3
"Female",17,182,61.6,3
"Male",21,106.5,70.2,4
"Male",22,166.9,66.9,6
"Male",21,173.6,67.4,4
"Male",19,157.6,77.7,4
"Male",20,209.1,67.8,7
"Male",21,226.1,70.2,5
"Female",20,124.9,66.5,5
"Female",17,139.3,68.8,3
"Male",17,173.5,62.9,4
"Male",17,215.7,66.3,2
"Female",17,173.6,59,5
"Male",18,170.6,72.3,2
"Male",18,125.5,68.2,5
"Female",19,137.3,59.7,2
"Male",21,140.7,77.1,3
"Male",22,142.5,64,3
"Male",22,254.7,73.5,2
"Female",22,204.7,66.6,2
"Male",17,226.5,74.2,2
"Female",17,199.6,61,3
"Male",20,242.6,67.4,2
"Male",20,206.8,64.6,6
"Female",22,141.2,67.9,3
"Male",19,270.4,67.3,2
"Male",19,136.6,69.1,4
"Male",19,207.3,70.5,2
"Female",21,148.9,67.3,6
"Male",19,187.3,70.4,3
"Female",18,158,63.3,3
"Female",17,154.5,64.4,2
"Male",18,164.2,66.5,3
"Male",22,162,77.5,2
"Female",18,164.7,65.5,3
"Female",21,133.3,65.8,7
"Female",19,138.6,64,4
"Male",20,179.4,65.6,2
"Male",17,171.6,69,3
"Male",18,152.2,73.7,4
"Female",19,136,63.3,2
"Female",21,165.5,68.4,5
"Female",21,145.7,65.4,6
"Female",20,170.2,63.8,3
"Female",22,171,68.2,3
"Female",17,123.5,67.6,3
"Male",19,190.7,68.4,4
"Female",18,98.5,70.2,2
"Female",18,114.5,60.1,3
"Male",17,134,76.4,3
"Female",20,144.4,69.4,5
"Male",19,202.2,61.3,2
"Female",19,124,65.5,4
"Male",17,171.5,66.8,3
"Female",19,188.1,67.7,3
"Male",18,152,72.5,4
"Male",17,146.8,64.7,2
"Male",22,141,58.8,2
"Male",17,216.2,70.4,6
"Female",19,127.9,65.9,2
"Male",17,193.2,70.8,3
"Female",18,145.5,58.6,4
"Male",19,228.4,70.8,6
"Male",18,187.3,72.2,3
"Male",19,121.3,69.6,4
"Female",17,184.6,60.7,6
"Male",17,195.6,66.7,2
"Male",22,199.8,70.3,2
"Female",17,155.7,65.7,3
"Female",20,139.6,65,2
"Male",20,189.9,72.1,3
"Male",20,175.7,70,6
"Female",21,123.5,58.3,5
"Male",17,196.9,72.4,2
"Female",19,123.5,69.5,4
"Female",22,104,69.2,2
"Female",17,141.6,69.6,6
"Female",19,120.5,60.1,3
"Female",19,175.5,63.4,5
"Female",17,118.5,68.4,3
"Female",17,141.8,61.8,2
"Female",17,199.1,68.8,3
"Male",20,185.7,64,6
"Female",22,160.9,68.1,6
"Female",18,141.4,70.2,6
"Female",22,160.8,62.3,2
"Female",22,194.5,65.2,6
"Female",17,147.1,64.2,2
"Female",17,137.8,68.2,2
"Female",17,159.6,66.6,2
"Female",21,140.4,68.5,4
"Female",17,91.1,65.9,3
"Male",20,245.5,72,3
"Female",17,97.5,61.6,2
"Female",20,152.5,64.1,4
"Female",21,152.1,69.2,4
"Female",22,128,70.1,2
"Female",21,161,67.7,2
"Female",22,120.6,65.1,2
"Male",17,168.6,66.2,5
"Female",17,145.1,70.4,3
"Male",22,122,68.5,2
"Female",20,128.5,62.4,4
"Female",21,147,67.4,2
"Female",19,165.6,68.6,4
"Female",20,136.9,64.6,2
"Female",22,139.2,62.1,4
"Female",17,139,61.3,2
"Female",22,160.2,62.1,6
"Female",19,163,60.8,2
"Male",22,122.3,69,3
"Male",22,193.6,68.4,2
"Male",20,156.5,72,5
"Female",18,152.7,63.5,3
"Female",21,136.4,70.2,2
"Male",21,190.2,76.4,2
"Female",20,128.4,63.8,2
"Male",19,186.1,66.4,2
"Female",21,135.4,62.2,3
"Male",22,148,67.2,2
"Female",22,107.3,64.2,3
"Female",18,139.6,61.7,4
"Male",17,221.8,70.4,2
"Female",18,182.2,71,4
"Female",22,166.8,67.2,2
"Male",19,167.7,69.5,3
"Female",22,175.4,67.9,2
"Female",20,95.6,65.2,4
"Male",17,212.9,67.7,2
"Male",22,247.2,70.8,5
"Female",22,142.7,64.8,5
"Female",17,155.2,66.2,6
"Female",22,138.7,65.1,4
"Female",19,169.6,60.3,2
"Female",19,133.7,64.7,3
"Female",22,151.2,65.9,2
"Male",19,169.6,67.6,2
"Female",22,125.6,67.1,5
"Female",19,248.1,73.1,2
"Female",22,117.5,66.4,4
"Male",22,262.7,73.5,3
"Female",18,172.2,62.6,2
"Female",20,102.8,68.8,2
"Female",17,109,66.7,4
"Male",21,212.4,75.2,6
"Female",20,144.4,61.5,2
"Male",19,162.9,78.5,2
"Male",21,228.6,68.9,2
"Female",20,104.3,68.1,4
"Male",21,222.2,70.2,4
"Male",22,194.6,74,3
"Male",19,134.7,69.5,2
"Male",17,187.3,76.8,2
"Female",18,160.3,64.9,4
"Male",20,207,70.4,3
"Female",19,156.5,62.3,2
"Female",17,190.6,63.3,5
"Male",21,287,72.9,5
"Male",21,231.4,70.8,5
"Female",20,100,58.5,4
"Male",18,175.1,74.6,5
"Female",19,136,64.9,4
"Female",18,133.5,66.9,2
"Female",21,152.4,67.9,3
"Female",22,147,63.8,4
"Male",20,211.8,66.7,3
"Female",19,112,59.6,5
"Female",17,142,67.5,3
"Female",20,159.8,69.4,2
"Male",17,153.5,72.6,3
"Male",22,213.8,63.8,2
"Male",21,191.6,67.7,3
"Male",19,134.4,67.1,3
"Male",18,141.1,66.2,2
"Male",21,195.5,70.3,3
"Male",21,190.7,77.4,5
"Male",20,180.8,71.8,2
"Female",21,129.2,67.6,5
"Female",20,174.9,68.3,4
"Male",18,137.2,72.3,2
"Female",18,143.5,64.1,2
"Male",22,218.2,73.3,5
"Female",17,154,64.5,2
"Female",20,137.5,68.5,3
"Male",19,201.3,65.5,2
"Male",19,141.2,75.2,3
"Female",19,125,65.8,4
"Female",18,147.1,62.9,2
"Male",20,221.1,73,4
"Male",22,205.5,75.8,2
"Female",22,130.7,63.9,4
"Female",18,171.1,64.5,2
"Male",21,198,72.2,2
"Female",17,104.3,66,5
"Male",20,160.1,66.6,2
"Female",22,109.8,67.7,2
"Female",21,171.1,64.7,3
"Female",20,150.3,65.9,2
"Male",19,134.5,68.6,6
"Female",20,156.5,67.7,3
"Female",21,176.7,66.5,4
"Male",19,247.4,69.4,2
"Male",18,189.9,74.4,4
"Female",21,120.9,66.7,2
"Female",17,147.2,62.7,3
"Male",17,135.8,71,5
"Male",20,190.5,64,3
"Female",19,94.7,74.2,3
"Female",17,92.9,63.4,2
"Female",21,186,60.8,3
"Female",17,196.9,65.4,4
"Male",19,211.6,64.8,7
"Female",22,129.6,63.8,2
"Female",21,160,64.9,4
"Female",17,153.1,57,5
"Female",17,152.6,60.5,4
"Male",22,115,67.3,4
"Female",21,165.8,64.1,3
"Male",19,268.3,68.4,5
"Female",22,133.5,64,2
"Female",18,122.6,69.3,3
"Female",20,148.5,61,4
"Female",17,104.1,63.7,5
"Female",17,128.4,65.7,3
"Female",21,203.6,62.4,4
"Female",18,200.9,65,3
"Female",21,139.4,62.9,3
"Female",21,139.6,67,2
"Male",17,193.5,66.8,5
"Female",21,198.3,69.4,2
"Male",19,202.3,67.6,4
"Male",18,177.8,68.8,6
"Male",18,113.4,65.2,2
"Male",22,215.9,71.5,3
"Female",22,146.7,66,3
"Male",19,112.4,80.2,4
"Female",17,165.5,70.3,3
"Female",17,165.9,66.7,5
"Female",20,118.6,68.1,3
"Female",17,150.2,71.9,5
"Male",18,151.4,66.9,4
"Female",22,158,63.7,2
"Male",19,166.7,66.9,2
"Female",17,136.4,66.9,4
"Female",19,164.7,70.8,4
"Female",18,160.9,65.6,6
"Male",19,138.8,67.9,3
"Male",19,199.2,68.5,3
"Female",18,160.4,65,5
"Male",17,198.2,70.5,3
"Male",20,159.7,66,2
"Female",20,175.9,62.3,3
"Male",22,145.9,70.8,2
"Female",20,131.6,60.7,6
"Female",19,152.7,69,4
"Male",21,187.7,73.1,3
"Female",18,177.5,65.6,5
"Male",21,208,65.4,2
"Male",21,164.2,67.4,2
"Male",22,178.2,71.7,5
"Male",20,199.8,70,4
"Female",20,117,67.2,3
"Female",17,127.8,64.4,4
"Male",21,218.5,75.7,4
"Male",18,108,71.6,2
"Male",18,170.8,75.3,4
"Female",17,99,67.7,4
"Female",21,222.8,62.5,7
"Male",21,186.1,67.3,2
"Female",17,169.5,64.1,4
"Female",19,169.5,60.8,2
"Female",18,175,66.7,4
"Male",21,222.7,76.7,3
"Female",21,158.8,62.4,2
"Male",19,200,65.2,2
"Male",18,167.2,80.3,4
"Male",19,133,74.6,4
"Male",19,145,76.8,3
"Male",18,223.1,68.3,4
"Female",20,91.6,58,5
"Female",17,120.6,67,6
"Female",20,181.9,60.3,2
"Male",21,180.4,66.2,2
"Male",17,212.3,71.1,5
"Female",19,134.2,66,3
"Male",21,241.7,73.4,7
"Female",22,104.8,62.6,3
"Female",19,160.3,61,2
"Female",20,126.9,67.7,7
"Female",19,144.3,64.3,7
"Female",22,150.3,65.6,3
"Female",21,125.5,65,5
"Female",22,166.7,59.6,5
"Male",18,181.4,67.8,2
"Female",17,101.4,63.7,4
"Male",20,236.2,70.6,5
"Female",20,159.6,67.9,4
"Female",22,135,59.6,3
"Male",19,145.5,69.1,3
"Male",20,235.3,75.2,3
"Male",20,227.8,62.9,2
"Male",20,162.1,68.4,3
"Female",20,103.3,67.7,4
"Female",18,120.1,69.8,5
"Female",22,109.6,67.4,4
"Female",22,162.7,62.1,2
"Female",22,172,66,2
"Female",18,136.1,64,4
"Male",17,175.4,63.7,5
"Female",20,175.3,60.1,5
"Female",22,124.8,63.7,3
"Female",19,130,64,3
"Female",20,146.9,63.1,2
"Female",20,163.2,67.9,2
"Female",21,150.5,63.2,6
"Male",21,181.9,73.5,3
"Female",19,154.1,65,3
"Female",22,121.9,70.2,3
"Female",18,142.6,67.4,5
"Female",19,173.2,63,2
"Female",22,182.6,57.6,3
"Female",18,98.2,70.7,3
"Male",19,152.4,73.6,2
"Male",17,163.7,70.9,3
"Male",21,210.5,69.2,5
"Female",20,116,68.5,6
"Male",18,167.7,62.7,5
"Male",17,205.9,72,6
"Female",18,142.5,68.4,4
"Female",22,162.8,68.1,6
"Female",21,170,67.6,4
"Female",17,173.4,64.7,3
"Female",22,118.2,60.9,3
"Female",19,154.2,66.2,4
"Male",20,155.7,71.2,3
"Female",18,99.3,65,6
"Female",22,173.8,66.9,3
"Male",22,176.7,73.3,4
"Female",19,130.3,67.2,3
"Male",22,151.6,74.3,2
"Female",20,132.6,60.7,3
"Female",18,184.3,60.9,2
"Female",21,177.6,65,2
"Female",21,91.1,61.1,4
"Male",19,152.1,68.1,6
"Female",20,138,65.9,2
"Male",19,201.9,68.4,2
"Female",18,126.1,63.2,2
"Female",21,188,65.5,4
"Male",17,130.3,75.1,3
"Female",17,170.4,67.6,2
"Female",18,195.8,64.7,4
"Male",18,179.4,65,5
"Male",19,214,66.6,6
"Male",17,176.8,68.3,5
"Male",20,129.2,71,4
"Female",22,131.4,64.7,5
"Male",22,218.2,68.5,5
"Male",19,201.4,72.1,4
"Female",20,96.6,67.2,3
"Male",18,229.6,66.6,3
"Male",19,247.2,73.2,3
"Male",19,203.6,73.2,3
"Male",18,202.1,68.3,5
"Female",18,120.9,69.3,5
"Male",19,258,70.6,3
"Female",19,158.3,66.3,2
"Male",21,205.8,71.6,2
"Male",20,236.5,69.9,5
"Male",20,211.5,66.4,6
"Female",20,133.1,68.1,2
"Male",18,164.9,69.6,3
"Female",19,146.9,63.3,2
"Male",21,203.6,61.6,4
"Female",19,136.3,62.8,3
"Female",19,181.2,59.2,4
"Female",19,135.1,61.4,2
"Female",22,101.4,67.1,3
"Female",20,158.7,65.6,4
"Male",22,243.8,72.8,2
"Female",21,184.7,65.7,6
"Male",18,127,74.8,3
"Female",22,158.2,64.8,2
"Female",21,180.5,65.2,5
"Male",18,225.3,68.5,3
"Male",18,220.1,72.3,2
"Female",22,108.8,69.9,4
"Female",21,246.8,67.1,4
"Male",19,178.2,68.6,3
"Female",19,156.3,66.2,2
"Male",18,146.4,68.2,2
"Female",17,177.9,63.6,3
"Male",19,186,72.5,2
"Female",18,120.4,69.5,3
"Male",19,204.2,75,3
"Female",19,127.1,70.1,4
"Male",20,163.6,64.6,5
"Male",22,127.2,65.7,2
"Female",21,153.1,65.3,4
"Male",20,221.5,72.9,2
"Female",20,126,64.6,6
"Female",18,158.7,69.6,5
"Female",21,166.2,65,2
"Female",21,125.9,68.1,3
"Female",18,123.7,58.8,3
"Male",21,166.4,66.3,3
"Male",21,224.9,69.5,3
"Female",19,99.9,68.4,2
"Male",21,134.1,66.1,2
"Male",19,194.7,69.5,5
"Female",18,138.6,66.4,2
"Female",21,124.1,63.6,4
"Female",17,160.2,69.3,4
"Female",20,119.7,69.5,6
"Male",20,226.6,71.3,3
"Male",21,241.4,68.1,2
"Female",19,197.5,68.1,3
"Female",17,170.3,64.1,3
"Female",20,137,64.8,4
"Female",17,181.4,70.9,3
"Female",17,160.7,65.9,5
"Male",21,219.6,76.3,4
"Female",21,147.2,69.1,2
"Female",22,152.1,66.7,3
"Male",22,173.8,67.2,2
"Female",21,168.3,69.4,4
"Female",19,120.9,68,2
"Male",21,217,68.6,3
"Female",21,132.1,60.9,4
"Female",17,143.7,66.4,5
"Male",20,157.1,70.1,5
"Female",17,134.1,67.9,2
"Male",21,225.2,72.3,2
"Female",18,137.6,63.3,2
"Male",18,223.4,76.5,5
"Female",22,172.7,63.6,3
"Male",19,237.2,66.1,5
"Female",22,154.3,67.8,4
"Female",21,143.2,63.6,3
"Female",18,144.1,62.9,3
"Female",19,104.6,63.4,3
"Female",21,92.7,66.5,5
"Female",22,135.9,64.3,4
"Male",22,175.1,79.6,3
"Female",19,190.4,62.5,5
"Female",22,195.4,65.7,6
"Male",22,144.2,70.4,3
"Female",18,148.1,71,7
"Female",17,134.6,67.7,6
"Male",22,220.5,74.9,2
"Male",22,211.2,67.7,3
"Male",18,245.5,74.1,4
"Male",17,113.9,72.1,4
"Male",19,194.5,70.3,3
"Female",18,127.5,63.1,3
"Male",19,240.4,63.3,4
"Female",21,170.8,66.9,5
"Female",20,138.8,61.8,6
"Female",20,149.9,62.1,4
"Female",21,94.5,63.2,4
"Female",22,192,70.7,3
"Female",19,153,63.1,2
"Female",20,143.4,61.2,5
"Female",21,170.5,65.9,3
"Female",19,172.2,67.2,7
"Female",19,156.1,61.1,3
"Female",19,128,60.8,4
"Female",18,157.2,68.8,4
"Male",20,203.5,66.3,4
"Female",17,122.7,65.3,6
"Male",19,117.5,59.3,3
"Female",17,154,63.4,4
"Female",18,136.2,60.1,2
"Male",22,129.7,74.3,7
"Female",19,144.1,63.6,2
"Female",18,163,61,2
"Female",22,165.4,67,3
"Female",19,146,69.2,4
"Male",21,149.1,70.5,4
"Female",18,149.7,63.5,4
"Female",17,118.5,67.9,3
"Female",22,150.3,65.4,6
"Male",17,212.9,73.4,2
"Male",18,181.8,74.1,6
"Male",22,159.4,64.7,3
"Female",20,93.8,65,2
"Female",18,141.1,60.6,4
"Male",20,184.2,64.6,5
"Female",22,141.3,64.3,3
"Female",17,188,60.3,4
"Male",22,203.8,67.9,4
"Male",22,181,79.3,5
"Male",18,212.5,72.9,3
"Female",19,145.8,64.5,2
"Male",20,211.2,74.9,5
"Male",17,139.2,67.6,5
"Male",18,204.6,73.1,6
"Female",18,125.9,68.2,2
"Female",22,97.2,69.1,2
"Male",22,232.7,69.7,2
"Female",18,125.1,70.2,4
"Female",18,157.6,65.4,5
"Female",18,152.3,64.3,2
"Female",18,108.9,69,2
"Male",20,102.4,73,2
"Male",20,259.2,69.1,2
"Male",17,262.1,72.2,3
"Male",19,201.2,69.4,7
"Male",19,168.4,75.4,2
"Female",19,114.1,60.2,2
"Male",18,197.7,67.4,4
"Male",20,175.2,66.9,3
"Male",17,191.5,75.2,4
"Female",17,128.7,67.7,3
"Female",17,132.9,65.4,4
"Female",19,135.6,70.5,5
"Male",19,204.8,70.9,2
"Male",19,212.6,64.3,4
"Female",17,162.6,69.4,4
"Male",17,116.8,69.6,2
"Female",19,165.5,66.2,3
"Female",17,147.8,66.7,2
"Female",22,173.8,63.2,2
"Female",22,167.5,63.5,2
"Male",22,196.3,65.9,2
"Female",21,129.3,70.1,3
"Female",21,190.2,68.1,4
"Male",22,218.8,67.6,6
"Female",17,117.5,66.3,3
"Male",22,174.1,75.1,2
"Female",19,134.4,66.7,4
"Female",17,121.2,65.1,4
"Female",22,129.9,57.3,5
"Female",19,114.1,60.4,2
"Male",20,197.4,72,7
"Female",17,224.5,60.5,2
"Male",17,224.4,68.3,3
"Female",18,171.2,64.8,3
"Male",18,178.6,80.6,4
"Male",18,136,74.4,4
"Male",21,172,67.3,3
"Female",22,167.6,65.8,3
"Female",22,156.1,70.8,2
"Female",22,180.4,58.6,3
"Male",20,201.4,69.3,5
"Female",20,169.7,67.1,2
"Female",20,132.2,61.5,7
"Female",17,191.3,63.1,3
"Female",17,168.9,69.2,4
"Female",22,126.9,68.6,5
"Female",22,110.2,65.3,2
"Male",21,169.9,63.2,3
"Female",18,144.7,69,2
"Male",22,107.8,68.9,2
"Female",17,116.2,65.3,2
"Male",21,162.1,69.7,2
"Male",18,190.9,72,2
"Female",18,153.7,64.7,4
"Male",18,140.6,64.9,2
"Male",17,208.8,70.4,7
"Female",20,129.2,64.4,3
"Male",21,186.8,70.7,4
"Female",18,108.1,65.5,3
"Female",19,122.2,65.4,3
"Male",22,192.4,67.9,5
"Male",18,208.3,65.2,2
"Female",18,125.9,65.3,2
"Female",19,147.2,68.8,6
"Female",17,147.5,62.1,3
"Female",19,164.8,58.7,4
"Male",21,177.6,61.4,2
"Female",18,169.5,59.6,2
"Male",19,240.6,69.9,4
"Female",19,119.9,68.2,3
"Male",18,206.5,68.6,4
"Male",22,197.3,66.9,2
"Male",17,200.6,62.6,4
"Female",22,172.2,62.7,5
"Male",20,188.9,73.6,3
"Male",22,194.2,62.4,3
"Male",22,203.6,62.5,3
"Female",19,151.3,66.9,3
"Female",17,179.7,63.7,2
"Female",21,123.5,65.3,3
"Female",22,212.2,62.2,3
"Female",21,163.3,68.5,4
"Male",20,208.7,73.1,3
"Male",19,148.4,70,4
"Male",18,151,71.5,2
"Female",20,114.6,65.2,2
"Male",18,189.9,79.7,4
"Male",20,131.6,67.8,5
"Male",21,179.7,67.7,2
"Female",18,183.5,67.8,3
"Female",19,116.6,57.7,2
"Male",18,154.5,72.7,4
"Male",18,195.6,73.4,3
"Female",19,148,67.4,4
"Male",19,154.2,74.7,2
"Female",20,156,64.4,5
"Female",19,95.9,66.8,2
"Male",21,164.3,67.4,6
"Female",20,124.3,61,4
"Male",17,174.1,71.2,4
"Female",18,172.9,65.4,2
"Female",17,116.4,61.3,5
"Female",19,177.8,67,2
"Female",22,143.4,72.6,3
"Female",20,120.3,65.6,5
"Female",19,126.7,74.7,2
"Male",22,135.7,63.1,5
"Female",17,160.4,67.1,3
"Female",21,153.8,72.1,4
"Female",19,172.9,66.8,3
"Male",21,127.1,67.2,2
"Male",22,250.8,65.2,7
"Female",22,123.1,66.1,4
"Male",22,174.8,71.9,5
"Male",18,153.2,66.6,2
"Male",21,109.7,70.8,4
"Female",20,101,63.8,4
"Male",18,152.2,74.3,6
"Male",17,168.5,72.6,2
"Male",17,246.9,69.9,5
"Female",21,144.3,60.8,3
"Male",21,182.7,65.8,2
"Female",18,126.5,67,5
"Female",22,171.4,62.1,4
"Male",19,171.3,71.9,2
"Male",17,211.5,69.3,7
"Female",22,123.3,62.7,6
"Female",18,106,59.8,3
"Female",20,127.5,68.4,5
"Male",21,175.1,65.4,3
"Female",19,161.9,64,5
"Female",17,117.2,68.4,4
"Female",21,113.6,63.6,3
"Female",19,143.1,64.5,6
"Female",21,126.2,72.5,5
"Female",20,134.7,68,5
"Female",18,143.7,59.9,3
"Male",21,162.9,70.7,6
"Male",21,204.6,77.1,2
"Male",17,159.3,66.7,3
"Female",18,145,65.5,4
"Female",21,144.4,64.4,3
"Male",20,169.5,67.8,2
"Female",21,212.8,65.2,4
"Female",21,158.9,63.9,2
"Female",21,152,58.6,5
"Female",20,163.1,62.9,3
"Male",20,160.3,82.1,3
"Male",22,213.5,68.9,2
"Male",21,154.7,70.2,4
"Male",17,100.6,74.8,5
"Male",17,289.1,68.7,4
"Male",19,137.3,62.4,4
"Male",18,172.4,68.2,6
"Male",18,140,65.8,3
"Female",18,137.7,59.7,2
"Male",21,256.7,69.2,2
"Male",18,184.9,64.9,3
"Male",17,137.2,70.6,2
"Female",21,159.5,66.8,3
"Male",17,181.4,73.2,2
"Male",17,149.8,70.9,3
"Female",22,189.2,63.2,2
"Male",22,142.2,65.8,3
"Female",21,217.2,64.5,4
"Male",17,226,71.3,2
"Male",19,185.8,67.7,4
"Male",20,192.5,72.3,4
"Male",17,148.7,69,4
"Male",22,162.6,70.1,2
"Female",18,146.1,62.2,2
"Male",22,210.6,66.7,2
"Female",21,188.3,65.5,4
"Female",19,161.8,61.9,3
"Male",20,222.9,69.2,2
"Female",20,169.2,63.8,4
"Male",17,206.9,71,2
"Female",22,152.6,63.5,5
"Female",19,157.5,66.5,3
"Female",22,197.3,63.5,2
"Female",17,139.5,65.2,3
"Male",22,218.3,64.7,4
"Male",22,140.3,75.7,5
"Male",21,170.2,69.7,3
"Male",18,215.7,66.7,2
"Male",18,203.6,65.9,5
"Male",18,177.2,67.6,4
"Female",20,184.8,62.4,6
"Female",17,150.2,61.8,5
"Female",22,175.4,66,4
"Male",18,171.2,74.1,7
"Female",17,114,63.1,3
"Female",17,167.5,62.1,3
"Female",22,149.9,62.2,3
"Female",22,120.2,74.7,3
"Male",20,199.5,68.8,2
"Male",20,188.2,72.6,2
"Male",20,227.1,80,4
"Female",17,97,63.2,4
"Male",20,183,69.5,2
"Female",21,172.3,65.1,4
"Female",19,127.6,65.1,5
"Male",18,179.4,73.6,5
"Female",21,142,60.8,2
"Male",18,106.1,71.9,3
"Male",18,133.4,73.1,3
"Female",22,127.1,66.5,4
"Female",20,104.8,64.7,2
"Female",17,163,64,5
"Female",17,169.3,63,3
"Male",20,189,77.5,2
"Female",20,134.3,59.7,4
"Female",21,143.3,63,3
"Female",22,134.8,68.5,2
"Male",20,167.6,76.1,3
"Female",17,126.8,68.5,4
"Female",20,154.7,63.4,3
"Female",22,181.2,56.8,4
"Female",18,154.2,61.3,3
"Female",18,175.8,67.5,7
"Female",22,147.1,66.7,2
"Male",19,182.8,70.7,2
"Female",20,107.2,69.7,4
"Male",21,159.8,69.7,2
"Female",19,122.1,64.3,4
"Male",17,245.3,69.9,6
"Male",22,193.8,72.1,4
"Male",22,202.3,68.9,4
"Male",20,213.8,67.4,5
"Female",19,128.2,66.5,5
"Female",22,140.2,63.7,2
"Male",19,247.5,69.7,5
"Female",20,167.9,67.9,3
"Male",19,147.3,62.4,2
"Male",21,133.2,72.7,2
"Male",17,134.3,72.6,3
"Male",19,167.4,75.4,3
"Female",20,118.2,67.8,2
"Female",21,142.7,65,4
"Male",17,123.3,69.9,3
"Female",20,104.3,63.2,3
"Female",18,172.8,64.3,3
"Male",21,131.9,71,4
"Male",21,166.9,69.2,4
"Female",22,120.8,63.2,2
"Male",20,246.4,68.8,4
"Female",20,149.9,61.9,3
"Female",22,162.6,65.2,4
"Female",17,153.4,60.6,3
"Female",20,108.3,70.2,4
"Female",18,159,67.7,2
"Male",20,144.2,68.7,2
"Male",22,205.7,66.5,2
"Female",22,143.1,60,2
"Male",17,199.8,73.1,4
"Female",22,115.8,64.1,2
"Female",18,161.7,67,3
"Female",19,182,66.5,2
"Female",21,125.1,59.9,5
"Male",17,148.2,73.1,4
"Female",19,155.5,69.8,2
"Male",21,117.4,70.7,4
"Male",18,207.8,80.5,4
"Male",20,215.4,73.9,3
"Female",18,107.8,61.2,4
"Female",21,146,62.1,4
"Female",18,149,63.3,3
"Female",22,116.1,69.8,3
"Male",20,177.6,73.9,3
"Female",19,153.1,70,3
"Female",19,143.5,60.1,3
"Female",17,194,64.7,2
"Male",19,178.8,68.1,2
"Male",20,171.2,72.5,2
"Male",19,187.5,73.6,3
"Female",22,106.9,61.3,3
"Male",19,153.5,68,2
"Male",19,209.8,70.4,4
"Female",19,173.3,62.5,6
"Female",19,132,61.8,2
"Male",18,243,74.3,3
"Male",22,236.9,63.7,6
"Female",18,134.7,63.4,2
"Female",18,166.9,59.8,5
"Female",22,152.6,66.7,4
"Female",19,179.8,67.9,2
"Female",18,149.6,67.5,5
"Male",22,205,68.8,2
"Female",21,126.6,60.9,3
"Male",20,221.6,75.8,6
"Male",17,178.7,71.7,3
